Date|Open|High|Low|Close|Volume|Market Cap
Nov 02, 2016|0.088935|0.088935|0.077092|0.081765|1,702|270,419
Nov 01, 2016|0.087864|0.090953|0.075542|0.076331|2,955|267,031
Oct 31, 2016|0.092111|0.092454|0.087868|0.087868|444|279,802
Oct 30, 2016|0.091324|0.097530|0.088052|0.091971|1,599|277,272
Oct 29, 2016|0.090599|0.099260|0.090069|0.091350|7,608|274,937
Oct 28, 2016|0.096522|0.099670|0.090573|0.090584|5,256|292,771
Oct 27, 2016|0.101955|0.102232|0.089449|0.096470|4,413|309,107
Oct 26, 2016|0.104747|0.107700|0.096230|0.101982|3,494|317,421
Oct 25, 2016|0.105637|0.108416|0.103944|0.104692|1,897|319,974
Oct 24, 2016|0.099267|0.110161|0.099110|0.105667|2,595|300,547
Oct 23, 2016|0.097367|0.108095|0.097367|0.099300|2,744|294,665
Oct 22, 2016|0.096567|0.104300|0.095145|0.097295|3,367|292,111
Oct 21, 2016|0.093632|0.097945|0.093123|0.096578|1,426|283,102
Oct 20, 2016|0.094899|0.095976|0.092369|0.093651|1,939|286,796
Oct 19, 2016|0.094190|0.095774|0.088629|0.094903|2,454|284,516
Oct 18, 2016|0.094166|0.099109|0.090612|0.094186|3,190|284,309
Oct 17, 2016|0.092319|0.098021|0.089855|0.094160|4,890|278,610
Oct 16, 2016|0.100000|0.104386|0.091682|0.092286|7,243|301,656
Oct 15, 2016|0.106015|0.109694|0.096791|0.099973|5,720|319,658
Oct 14, 2016|0.104370|0.109468|0.101394|0.106004|2,531|314,557
Oct 13, 2016|0.113352|0.114366|0.094040|0.104353|8,603|341,474
Oct 12, 2016|0.113038|0.116956|0.112014|0.113357|3,331|335,029
Oct 11, 2016|0.112132|0.117422|0.110984|0.113116|2,856|324,421
Oct 10, 2016|0.109979|0.113769|0.105878|0.112095|2,255|318,004
Oct 09, 2016|0.111310|0.113466|0.106751|0.109954|1,711|321,703
Oct 08, 2016|0.114528|0.114632|0.102702|0.111303|5,209|330,851
Oct 07, 2016|0.119064|0.122315|0.111079|0.114505|6,851|343,797
Oct 06, 2016|0.117007|0.130216|0.113201|0.119066|8,845|337,704
Oct 05, 2016|0.113196|0.117836|0.113179|0.117012|3,255|326,554
Oct 04, 2016|0.118649|0.119267|0.112677|0.113188|9,114|342,130
Oct 03, 2016|0.115936|0.120901|0.115881|0.118637|4,088|334,142
Oct 02, 2016|0.121483|0.122623|0.113846|0.115944|7,787|349,966
Oct 01, 2016|0.123137|0.125212|0.113510|0.124673|18,396|354,568
Sep 30, 2016|0.126271|0.133343|0.114772|0.123126|27,327|363,407
Sep 29, 2016|0.119843|0.155768|0.115741|0.131225|46,723|344,701
Sep 28, 2016|0.115063|0.123875|0.113775|0.119858|5,557|330,754
Sep 27, 2016|0.117114|0.118007|0.106351|0.113929|6,594|336,447
Sep 26, 2016|0.115759|0.123147|0.113964|0.117134|8,423|332,351
Sep 25, 2016|0.119783|0.123588|0.115140|0.115765|4,319|343,706
Sep 24, 2016|0.117063|0.123226|0.114605|0.119826|7,032|335,714
Sep 23, 2016|0.117200|0.118888|0.112223|0.117067|8,314|335,911
Sep 22, 2016|0.134887|0.138152|0.109500|0.117190|29,762|386,383
Sep 21, 2016|0.115661|0.147859|0.113265|0.134934|26,153|331,123
Sep 20, 2016|0.124594|0.127236|0.114590|0.117200|7,274|356,491
Sep 19, 2016|0.132049|0.135590|0.122096|0.124598|20,532|377,616
Sep 18, 2016|0.114651|0.165897|0.110911|0.132056|53,612|327,690
Sep 17, 2016|0.117814|0.122171|0.108582|0.114680|9,211|336,552
Sep 16, 2016|0.115912|0.127243|0.111393|0.117812|7,310|330,945
Sep 15, 2016|0.118655|0.152060|0.109800|0.115932|27,310|338,598
Sep 14, 2016|0.133947|0.138144|0.112746|0.118669|17,254|382,040
Sep 13, 2016|0.138271|0.157095|0.122106|0.133912|24,989|394,171
Sep 12, 2016|0.130559|0.152106|0.130363|0.138226|10,359|371,997
Sep 11, 2016|0.141157|0.149605|0.123644|0.130518|9,404|401,996
Sep 10, 2016|0.155012|0.166399|0.137371|0.141169|15,900|441,235
