#|Name|Symbol|Market Cap|Price|Circulating Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
193|Digitalcoin|DGC|$218,574|$0.006356|34,389,793|$813|0.18%|-7.88%|4.24%|False|False
194|CannabisCoin|CANN|$211,839|$0.002743|77,231,176|$2,819|0.19%|2.01%|-25.73%|False|False
195|BilShares|BILS|$211,480|$0.000211|1,000,000,000|$1,382|0.31%|-6.52%|-0.37%|True|False
196|NobleCoin|NOBL|$210,051|$0.000092|2,287,935,644|$3,181|1.15%|-13.45%|-17.26%|False|False
197|Electronic Gu...|EFL|$209,398|$0.013758|15,219,875|$979|0.21%|-9.64%|-13.17%|False|True
198|CasinoCoin|CSC|$209,304|$0.005422|38,601,187|$670|0.18%|-2.59%|-46.21%|False|False
199|FuelCoin|FC2|$207,872|$0.002052|101,318,387|$325|0.51%|-2.20%|-19.18%|False|True
200|ReeCoin|REE|$203,531|$0.016457|12,367,704|$113|0.60%|-20.47%|-48.56%|False|False
201|Jewels|JWL|$202,900|$0.010081|20,127,556|Low Vol|0.30%|-11.31%|-23.54%|True|False
202|Veltor|VLT|$194,422|$0.353457|550,060|$441|0.30%|-9.56%|-5.39%|False|False
203|Magi|XMG|$186,707|$0.027775|6,722,186|$2,456|0.44%|-11.46%|-3.14%|False|False
204|Mineum|MNM|$178,527|$0.018919|9,436,367|Low Vol|0.46%|-3.97%|-16.43%|False|False
205|E-Currency Coin|ECC|$177,584|$0.000008|21,354,307,902|$256|0.65%|43.15%|261.44%|False|False
206|EuropeCoin|ERC|$176,799|$0.018137|9,748,196|$337|0.30%|-1.19%|-10.46%|True|False
207|MazaCoin|MZC|$173,821|$0.000159|1,092,618,137|$410|0.35%|-2.79%|-4.75%|False|False
208|bitCNY|BITCNY|$165,999|$0.139864|1,186,863|$49,739|0.19%|-1.84%|-0.07%|True|False
209|Bitswift|SWIFT|$164,568|$0.040554|4,058,005|Low Vol|0.40%|-0.81%|-31.14%|True|False
210|TagCoin|TAG|$162,369|$0.030580|5,309,580|$1,791|-0.62%|-9.94%|2.72%|False|False
211|Woodcoin|LOG|$161,837|$0.020141|8,035,193|Low Vol|0.30%|-10.56%|?|False|False
212|Startcoin|START|$160,907|$0.003569|45,079,785|$3,429|-0.30%|-6.68%|-17.20%|False|True
213|Tao|XTO|$160,426|$0.005308|30,220,678|Low Vol|-0.92%|4.95%|-1.95%|False|False
214|PostCoin|POST|$156,835|$0.010031|15,634,818|$782|0.43%|-10.79%|-15.73%|True|False
215|Synergy|SNRG|$155,927|$0.060294|2,586,126|$1,493|-0.55%|-15.10%|-24.70%|True|False
216|SecureCoin|SRC|$154,932|$0.020485|7,563,200|$1,387|0.07%|-4.19%|1.41%|False|False
217|Orbitcoin|ORB|$151,777|$0.052517|2,890,080|$1,832|0.34%|-6.60%|-15.52%|False|False
218|Fantomcoin|FCN|$151,219|$0.027336|5,531,941|$970|2.44%|-4.19%|60.33%|False|False
219|Dashcoin|DSH|$144,049|$0.008385|17,178,587|$8,725|2.27%|18.15%|-11.78%|False|False
220|AmberCoin|AMBER|$141,024|$0.003233|43,622,044|Low Vol|2.50%|-21.73%|-0.52%|False|True
221|Bitstar|BITS|$137,655|$0.007314|18,820,916|$1,032|-0.13%|-8.00%|-11.76%|False|False
222|Cryptonite|XCN|$134,771|$0.000656|205,328,613|$3,682|-1.61%|68.71%|191.92%|False|False
223|NuBits|USNBT|$133,151|$0.981920|135,603|$3,251|1.52%|4.57%|0.11%|True|False
224|EvergreenCoin|EGC|$131,374|$0.009904|13,265,187|$9,761|1.20%|-1.18%|-3.00%|False|False
225|TrustPlus|TRUST|$127,642|$0.003978|32,086,595|$1,235|-0.23%|16.02%|85.40%|True|False
226|I0Coin|I0C|$127,158|$0.006064|20,968,001|$483|0.18%|-7.73%|-11.80%|False|False
227|Quatloo|QTL|$126,291|$0.024949|5,062,002|$1,883|0.17%|-9.90%|-17.85%|False|False
228|Shorty|SHORTY|$122,716|$0.001227|100,000,000|$132|-0.36%|-7.94%|?|True|False
229|Stealthcoin|XST|$121,030|$0.004713|25,677,416|$801|-0.31%|-18.72%|-6.56%|False|False
230|Blitzcash|BLITZ|$120,133|$0.029660|4,050,298|$1,691|-0.85%|-3.06%|16.91%|True|False
231|Pesobit|PSB|$117,033|$0.003627|32,270,692|$725|-0.87%|-21.50%|8.14%|True|False
232|2GIVE|2GIVE|$115,609|$0.000228|507,791,789|Low Vol|-0.41%|-10.26%|-8.09%|False|False
233|Pesetacoin|PTC|$114,636|$0.000888|129,145,965|$1,393|0.54%|-3.99%|-0.67%|False|False
234|Coin2.1|C2|$114,013|$0.001140|99,976,323|$3,292|0.28%|-9.60%|-3.77%|True|False
235|MaxCoin|MAX|$113,679|$0.002088|54,442,678|$133|-3.16%|-4.49%|-6.73%|False|False
236|PureVidz|VIDZ|$113,248|$0.000905|125,087,071|$7,472|-1.31%|-13.11%|-64.09%|True|False
237|Mediterranean...|MED|$112,900|$0.002316|48,742,964|Low Vol|0.30%|5.04%|5.69%|False|False
238|Canada eCoin|CDN|$111,667|$0.001146|97,415,544|$3,352|0.00%|-7.38%|-18.92%|False|False
239|ArtByte|ABY|$109,762|$0.000146|751,358,022|$271|0.69%|-6.94%|-30.33%|False|True
240|bitUSD|BITUSD|$108,495|$1.00|108,055|$42,728|0.09%|-1.50%|0.19%|True|False
241|Elcoin|EL|$106,902|$0.009537|11,208,967|$363|0.27%|-13.13%|-2.60%|True|False
242|Syndicate|SYNX|$106,569|$0.009457|11,268,860|$455|0.11%|-3.43%|17.96%|True|False
243|SwagBucks|BUCKS|$105,264|$0.592629|177,622|$358|-0.18%|-16.96%|-20.48%|False|False
244|Capricoin|CPC|$104,559|$0.112645|928,217|$2,445|0.34%|-2.25%|-8.53%|True|False
